WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,change,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,cat
WBGene00201859,,F52H2.14,Live,ncRNA_gene,15.17885659,7.900971311,1.01E-05,no_change,0,0,0,67.1710979,13.06999199,10.83204965,
WBGene00044973,,F08G2.12,Live,ncRNA_gene,14.9792189,7.872946298,4.62E-06,no_change,0,0,0,43.86683944,37.34283425,8.665639717,
WBGene00200117,,F27C1.16,Live,ncRNA_gene,14.84522293,7.87213374,4.89E-06,no_change,0,0,0,56.20438804,11.20285027,21.66409929,
WBGene00197647,,K03C7.7,Live,ncRNA_gene,14.39466876,7.819885968,1.42E-06,no_change,0,0,0,20.56258099,35.47569253,30.32973901,
WBGene00200268,,F01G12.16,Live,ncRNA_gene,14.30959975,7.805045385,4.14E-05,no_change,0,0,0,37.01264578,46.67854281,2.166409929,
WBGene00196129,,F11A6.6,Live,ncRNA_gene,13.909713,7.77840873,1.58E-05,no_change,0,0,0,57.57522677,7.468566849,18.4144844,
WBGene00201494,,H27M09.7,Live,ncRNA_gene,13.81387161,7.750841696,0.000147937,no_change,0,0,0,16.45006479,65.34995993,1.083204965,
WBGene00199458,,F29F11.13,Live,ncRNA_gene,13.67723619,7.745851366,2.51E-06,no_change,0,0,0,35.64180705,28.00712568,18.4144844,
WBGene00195641,,F58F12.5,Live,ncRNA_gene,13.50433278,7.72890603,1.23E-05,no_change,0,0,0,6.854193663,37.34283425,36.8289688,
WBGene00196698,,F42D1.8,Live,ncRNA_gene,13.4533416,7.716713015,3.26E-06,no_change,0,0,0,26.04593592,37.34283425,17.33127943,
WBGene00195910,,F29F11.8,Live,ncRNA_gene,25.91528215,7.705395032,1.59E-07,no_change,0.682253871,0,0,50.72103311,46.67854281,57.40986313,
WBGene00198634,,T09F3.6,Live,ncRNA_gene,13.16306837,7.694495212,2.52E-06,no_change,0,0,0,24.67509719,26.13998397,28.16332908,
WBGene00201625,,F45D3.15,Live,ncRNA_gene,13.10390773,7.690060906,3.64E-06,no_change,0,0,0,17.82090352,26.13998397,34.66255887,
WBGene00197277,,Y37E3.28,Live,ncRNA_gene,13.16780898,7.68221703,0.000832457,no_change,0,0,0,1.370838733,76.55281021,1.083204965,
WBGene00196622,,F29D11.3,Live,ncRNA_gene,12.90703504,7.655367082,1.07E-05,no_change,0,0,0,10.96670986,44.8114011,21.66409929,
WBGene00195825,,F27E11.6,Live,ncRNA_gene,24.75751252,7.63637122,2.43E-07,no_change,0,0.692063171,0,42.49600071,52.27996794,53.07704327,
WBGene00236798,,F48C1.15,Live,ncRNA,12.44868803,7.620703529,6.49E-06,no_change,0,0,0,19.19174226,18.67141712,36.8289688,
WBGene00199939,,T06H11.17,Live,ncRNA_gene,12.4981533,7.613636732,6.90E-06,no_change,0,0,0,32.90012958,28.00712568,14.08166454,
WBGene00200167,,F45D3.11,Live,ncRNA_gene,12.39963592,7.610559303,7.01E-06,no_change,0,0,0,37.01264578,16.80427541,20.58089433,
WBGene00200573,,W06H8.14,Live,ncRNA_gene,23.17803107,7.535696085,5.06E-07,no_change,0,0,0.699654331,46.60851691,56.01425137,35.74576383,
WBGene00198446,,T25D10.6,Live,ncRNA_gene,11.72849046,7.535481381,1.17E-05,no_change,0,0,0,17.82090352,16.80427541,35.74576383,
WBGene00201982,,C04A2.13,Live,ncRNA_gene,11.67403389,7.531618978,1.94E-05,no_change,0,0,0,26.04593592,9.335708562,34.66255887,
WBGene00220190,,Y65B4BM.2,Live,ncRNA_gene,11.67568574,7.524139393,0.000360371,no_change,0,0,0,61.68774297,1.867141712,6.499229788,
WBGene00198232,,F18C5.14,Live,ncRNA_gene,11.56569559,7.509436517,1.27E-05,no_change,0,0,0,13.70838733,24.27284226,31.41294398,
WBGene00201398,,F31C3.16,Live,ncRNA_gene,2912.316435,7.497695324,2.33E-05,up,25.92564709,40.1396639,30.08513622,5928.877519,11425.04014,23.83050922,
WBGene00196240,,C25F6.12,Live,ncRNA_gene,11.41618703,7.49240937,1.86E-05,no_change,0,0,0,37.01264578,13.06999199,18.4144844,
WBGene00200442,,Y54E10A.26,Live,ncRNA_gene,22.16701204,7.485146476,1.65E-06,no_change,0.682253871,0,0,28.78761339,29.8742674,73.6579376,
WBGene00199724,,F10C1.16,Live,ncRNA_gene,11.40649165,7.482576495,0.000154578,no_change,0,0,0,43.86683944,22.40570055,2.166409929,
WBGene00196885,,ZC513.15,Live,ncRNA_gene,11.30797427,7.475990013,6.25E-05,no_change,0,0,0,47.97935564,11.20285027,8.665639717,
WBGene00195971,,F55C5.12,Live,ncRNA_gene,11.15875293,7.46518326,4.89E-05,no_change,0,0,0,34.27096832,5.601425137,27.08012412,
WBGene00198878,,T28B11.15,Live,ncRNA_gene,11.02867164,7.434150072,5.70E-05,no_change,0,0,0,5.48335493,33.60855082,27.08012412,
WBGene00194984,,R102.15,Live,ncRNA,10.70791153,7.389395566,9.54E-05,no_change,0,0,0,35.64180705,24.27284226,4.332819859,
WBGene00199897,,R13H4.11,Live,ncRNA_gene,10.52391198,7.374212529,2.00E-05,no_change,0,0,0,24.67509719,16.80427541,21.66409929,
WBGene00195547,,T28B11.2,Live,ncRNA_gene,10.52114698,7.373847201,4.72E-05,no_change,0,0,0,8.225032396,22.40570055,32.49614894,
WBGene00220108,,W01D2.9,Live,ncRNA_gene,76.67827525,7.363053507,1.76E-15,up,0.682253871,0,2.098962992,113.7796148,222.1898638,121.318956,
WBGene00200245,,ZK1290.21,Live,ncRNA_gene,10.03218754,7.305907406,3.16E-05,no_change,0,0,0,24.67509719,14.9371337,20.58089433,
WBGene00219610,anr-51,T26C5.6,Live,ncRNA,10.05520575,7.288721715,0.000183236,no_change,0,0,0,6.854193663,44.8114011,8.665639717,
WBGene00220100,,T27A3.12,Live,ncRNA_gene,951.280304,7.275316227,6.90E-59,up,15.00958516,9.68888439,11.89412362,3080.274632,1488.111945,1102.702654,
WBGene00200041,,R03E9.8,Live,ncRNA_gene,19.07877468,7.264289225,3.66E-06,no_change,0,0.692063171,0,53.46271057,22.40570055,37.91217376,
WBGene00199571,,T21H8.8,Live,ncRNA_gene,9.73956247,7.255514499,0.000255445,no_change,0,0,0,38.38348451,16.80427541,3.249614894,
WBGene00195289,,Y39G10AR.26,Live,ncRNA_gene,9.713941335,7.253659695,0.143721641,no_change,0,0,0,24.67509719,33.60855082,0,
WBGene00195458,,K04A8.11,Live,ncRNA_gene,9.625945254,7.244326631,0.000157011,no_change,0,0,0,39.75432325,9.335708562,8.665639717,
WBGene00201778,,H01A20.5,Live,ncRNA_gene,9.560141457,7.232894493,4.06E-05,no_change,0,0,0,19.19174226,18.67141712,19.49768936,
WBGene00200931,,W07G4.11,Live,ncRNA_gene,9.568598141,7.232482371,7.96E-05,no_change,0,0,0,8.225032396,24.27284226,24.91371419,
WBGene00195363,,M01H9.6,Live,ncRNA_gene,9.508449889,7.227955797,0.000309911,no_change,0,0,0,43.86683944,5.601425137,7.582434753,
WBGene00196986,,H01A20.2,Live,ncRNA_gene,9.457745926,7.222852063,6.28E-05,no_change,0,0,0,26.04593592,11.20285027,19.49768936,
WBGene00200206,,C03B8.6,Live,ncRNA_gene,9.468967611,7.221913136,8.15E-05,no_change,0,0,0,31.52929085,11.20285027,14.08166454,
WBGene00201741,,R08E3.11,Live,ncRNA_gene,9.342064093,7.200346065,0.000148394,no_change,0,0,0,5.48335493,22.40570055,28.16332908,
WBGene00195666,,C34E11.9,Live,ncRNA_gene,9.386825289,7.192399836,0.000284516,no_change,0,0,0,4.112516198,39.20997596,12.99845958,
WBGene00196270,,F48E3.11,Live,ncRNA_gene,9.314629426,7.188533824,5.82E-05,no_change,0,0,0,16.45006479,24.27284226,15.16486951,
WBGene00202176,,H08J11.13,Live,ncRNA_gene,9.325851111,7.188203976,7.92E-05,no_change,0,0,0,21.93341972,24.27284226,9.748844682,
WBGene00198462,,F01D5.14,Live,ncRNA_gene,9.19589537,7.16119616,0.000338175,no_change,0,0,0,16.45006479,35.47569253,3.249614894,
WBGene00195881,,T28B11.6,Live,ncRNA_gene,8.952860721,7.144409345,8.68E-05,no_change,0,0,0,21.93341972,11.20285027,20.58089433,
WBGene00198804,,T28B11.14,Live,ncRNA_gene,8.937760887,7.138576615,7.21E-05,no_change,0,0,0,19.19174226,14.9371337,19.49768936,
WBGene00201754,,ZK484.10,Live,ncRNA_gene,385.9585866,7.114366647,6.93E-40,up,7.50479258,2.076189512,6.996543307,1081.59176,830.878062,386.7041724,
WBGene00197360,,F46H6.8,Live,ncRNA_gene,8.775091561,7.112796068,0.000389583,no_change,0,0,0,38.38348451,5.601425137,8.665639717,
WBGene00196124,,F57B10.16,Live,ncRNA_gene,8.742126892,7.102166806,8.32E-05,no_change,0,0,0,16.45006479,18.67141712,17.33127943,
WBGene00200182,,T24C2.9,Live,ncRNA_gene,8.663287878,7.097175508,0.000107434,no_change,0,0,0,15.07922606,13.06999199,23.83050922,
WBGene00197257,,H21P03.6,Live,ncRNA_gene,8.715805373,7.097041227,0.000141999,no_change,0,0,0,8.225032396,22.40570055,21.66409929,
WBGene00195803,,F46E10.13,Live,ncRNA_gene,8.667866412,7.089619301,0.000177864,no_change,0,0,0,6.854193663,22.40570055,22.74730426,
WBGene00198349,,C45B2.12,Live,ncRNA_gene,8.41402324,7.051246908,0.000589138,no_change,0,0,0,38.38348451,5.601425137,6.499229788,
WBGene00196474,,K01A12.5,Live,ncRNA_gene,8.440093673,7.050836254,0.156314321,no_change,0,0,0,0,35.47569253,15.16486951,
WBGene00198738,,C47E12.17,Live,ncRNA_gene,8.473058343,7.048935721,0.000219926,no_change,0,0,0,21.93341972,22.40570055,6.499229788,
WBGene00219833,,C26C6.12,Live,ncRNA_gene,8.407380089,7.045461254,0.000155376,no_change,0,0,0,24.67509719,14.9371337,10.83204965,
WBGene00201664,,C27H6.12,Live,ncRNA_gene,8.228084619,7.024434678,0.002661318,no_change,0,0,0,28.78761339,0,20.58089433,
WBGene00196627,,H08J11.5,Live,ncRNA_gene,8.172389358,7.009196139,0.000409329,no_change,0,0,0,32.90012958,7.468566849,8.665639717,
WBGene00197648,,ZK20.8,Live,ncRNA_gene,8.124450397,7.001280431,0.000377997,no_change,0,0,0,31.52929085,7.468566849,9.748844682,
WBGene00201801,,F55D12.8,Live,ncRNA_gene,8.126263929,6.994402707,0.000262381,no_change,0,0,0,6.854193663,22.40570055,19.49768936,
WBGene00196042,,K11C4.7,Live,ncRNA_gene,8.092311654,6.98605338,0.000455426,no_change,0,0,0,27.41677465,16.80427541,4.332819859,
WBGene00201830,,Y54G2A.70,Live,ncRNA_gene,7.992555581,6.972581279,0.161386029,no_change,0,0,0,27.41677465,20.53855884,0,
WBGene00198725,,F55A11.13,Live,ncRNA_gene,15.60639531,6.963928431,8.36E-05,no_change,0.682253871,0,0,60.31690424,26.13998397,6.499229788,
WBGene00197385,,F18C5.13,Live,ncRNA_gene,7.909012492,6.951644355,0.00022676,no_change,0,0,0,10.96670986,22.40570055,14.08166454,
WBGene00196280,,M01H9.7,Live,ncRNA_gene,7.721260339,6.934607984,0.001004984,no_change,0,0,0,26.04593592,1.867141712,18.4144844,
WBGene00201275,,C52G5.10,Live,ncRNA_gene,7.759503926,6.928743539,0.001883687,no_change,0,0,0,34.27096832,11.20285027,1.083204965,
WBGene00219942,,F40H6.8,Live,ncRNA_gene,84.25058309,6.916250288,7.42E-15,up,0,4.152379024,0,254.9760043,145.6370536,100.7380617,
WBGene00220239,,ZK218.23,Live,ncRNA_gene,7.652404319,6.911291477,0.000393708,no_change,0,0,0,26.04593592,11.20285027,8.665639717,
WBGene00201069,,F22A3.16,Live,ncRNA_gene,7.6260828,6.90518733,0.000244268,no_change,0,0,0,17.82090352,14.9371337,12.99845958,
WBGene00201249,,F35C11.12,Live,ncRNA_gene,7.696339588,6.902711842,0.000649361,no_change,0,0,0,6.854193663,31.74140911,7.582434753,
WBGene00200100,,K03C7.11,Live,ncRNA_gene,7.580082913,6.900977848,0.000251306,no_change,0,0,0,15.07922606,13.06999199,17.33127943,
WBGene00201301,,C10F3.15,Live,ncRNA_gene,7.573439762,6.894001503,0.001405142,no_change,0,0,0,1.370838733,22.40570055,21.66409929,
WBGene00200868,,F26D12.100,Live,ncRNA_gene,7.55722678,6.880253561,0.000791535,no_change,0,0,0,17.82090352,24.27284226,3.249614894,
WBGene00202065,,K02B9.9,Live,ncRNA_gene,7.43238788,6.866618537,0.00028743,no_change,0,0,0,13.70838733,16.80427541,14.08166454,
WBGene00201963,,Y37A1B.337,Live,ncRNA_gene,7.421992122,6.86370872,0.000627965,no_change,0,0,0,26.04593592,13.06999199,5.416024823,
WBGene00202471,,B0198.10,Live,ncRNA_gene,7.404127286,6.856691034,0.000472853,no_change,0,0,0,6.854193663,22.40570055,15.16486951,
WBGene00198933,,Y37A1B.333,Live,ncRNA_gene,7.371288159,6.854906681,0.000399766,no_change,0,0,0,8.225032396,18.67141712,17.33127943,
WBGene00199871,,F46F3.14,Live,ncRNA_gene,7.387088377,6.8468175,0.000710366,no_change,0,0,0,5.48335493,28.00712568,10.83204965,
WBGene00199057,,C06A8.14,Live,ncRNA_gene,7.293275072,6.844071398,0.000513993,no_change,0,0,0,24.67509719,9.335708562,9.748844682,
WBGene00200727,,F25H8.22,Live,ncRNA_gene,7.165383949,6.817965488,0.012930205,no_change,0,0,0,41.12516198,1.867141712,0,
WBGene00198284,,F44C4.11,Live,ncRNA_gene,7.145454496,6.803738821,0.006217966,no_change,0,0,0,0,29.8742674,12.99845958,
WBGene00199614,,C45B2.13,Live,ncRNA_gene,7.066741025,6.802284231,0.000587295,no_change,0,0,0,21.93341972,7.468566849,12.99845958,
WBGene00200540,,F46F3.15,Live,ncRNA_gene,7.076023634,6.79731536,0.001154605,no_change,0,0,0,28.78761339,9.335708562,4.332819859,
WBGene00197800,,H01A20.3,Live,ncRNA_gene,6.995245546,6.785615171,0.001121613,no_change,0,0,0,28.78761339,5.601425137,7.582434753,
WBGene00199336,,C41C4.14,Live,ncRNA_gene,7.010219837,6.78061873,0.000541981,no_change,0,0,0,8.225032396,18.67141712,15.16486951,
WBGene00195791,,F42H10.9,Live,ncRNA_gene,6.958402726,6.762608563,0.000637447,no_change,0,0,0,9.595871128,22.40570055,9.748844682,
WBGene00201372,,W06H8.15,Live,ncRNA_gene,6.849489587,6.753710493,0.000987729,no_change,0,0,0,26.04593592,7.468566849,7.582434753,
WBGene00196962,,H34C03.18,Live,ncRNA_gene,6.845611437,6.746851661,0.003023241,no_change,0,0,0,28.78761339,11.20285027,1.083204965,
WBGene00201808,,C34F6.16,Live,ncRNA_gene,37.37456633,6.744517647,3.94E-10,no_change,0,0.692063171,1.399308661,82.25032396,59.74853479,80.15716739,
WBGene00201998,,K11C4.13,Live,ncRNA_gene,6.83426421,6.739818025,0.007271547,no_change,0,0,0,0,28.00712568,12.99845958,
WBGene00196687,,C09B8.12,Live,ncRNA_gene,6.781746715,6.732583052,0.00073928,no_change,0,0,0,6.854193663,18.67141712,15.16486951,
WBGene00200397,,ZK632.17,Live,ncRNA_gene,6.706785851,6.731696564,0.001983811,no_change,0,0,0,2.741677465,9.335708562,28.16332908,
WBGene00198453,,T23F1.9,Live,ncRNA_gene,6.727290146,6.728346617,0.000577548,no_change,0,0,0,15.07922606,11.20285027,14.08166454,
WBGene00200598,,C07G2.4,Live,ncRNA_gene,6.628772764,6.714859327,0.006396293,no_change,0,0,0,19.19174226,0,20.58089433,
WBGene00198980,,C46G7.108,Live,ncRNA_gene,6.582360113,6.691698508,0.010037059,no_change,0,0,0,30.15845212,9.335708562,0,
WBGene00196322,,R05F9.14,Live,ncRNA_gene,6.54481691,6.683314881,0.000736823,no_change,0,0,0,16.45006479,13.06999199,9.748844682,
WBGene00199236,,T05A6.14,Live,ncRNA_gene,6.473321431,6.666354044,0.001522017,no_change,0,0,0,23.30425845,11.20285027,4.332819859,
WBGene00195811,,H09I01.4,Live,ncRNA_gene,6.491060724,6.663323914,0.003293924,no_change,0,0,0,19.19174226,18.67141712,1.083204965,
WBGene00200827,,F08H9.14,Live,ncRNA_gene,12.50392017,6.632710219,0.002696483,no_change,0,0.692063171,0,16.45006479,57.88139308,0,
WBGene00195300,,ZC190.11,Live,ncRNA_gene,6.301243954,6.622993091,0.00099467,no_change,0,0,0,12.33754859,16.80427541,8.665639717,
WBGene00196806,,F39C12.6,Live,ncRNA_gene,6.220465865,6.611144061,0.00094182,no_change,0,0,0,12.33754859,13.06999199,11.91525461,
WBGene00198924,,C15F1.14,Live,ncRNA_gene,12.20325119,6.596515581,0.000624334,no_change,0,0.692063171,0,27.41677465,42.94425938,2.166409929,
WBGene00201422,,W04D2.13,Live,ncRNA_gene,6.126527017,6.595386345,0.001226113,no_change,0,0,0,8.225032396,11.20285027,17.33127943,
WBGene00197119,,F36D4.9,Live,ncRNA_gene,6.188327122,6.589614793,0.001646658,no_change,0,0,0,8.225032396,22.40570055,6.499229788,
WBGene00202383,,R153.9,Live,ncRNA_gene,6.135809627,6.588837178,0.001134443,no_change,0,0,0,15.07922606,13.06999199,8.665639717,
WBGene00200205,,C05D2.17,Live,ncRNA_gene,692.5111539,6.5822422,1.74E-54,up,13.64507742,8.304758049,20.98962992,1976.749452,1200.572121,934.8058845,
WBGene00197615,,C25F6.15,Live,ncRNA_gene,12.04086909,6.580388388,0.000174144,no_change,0,0.692063171,0,9.595871128,39.20997596,22.74730426,
WBGene00202443,,C13G3.11,Live,ncRNA_gene,6.120709793,6.579928707,0.001266803,no_change,0,0,0,12.33754859,16.80427541,7.582434753,
WBGene00195383,,C09B8.10,Live,ncRNA_gene,6.026770945,6.563786623,0.001284729,no_change,0,0,0,8.225032396,14.9371337,12.99845958,
WBGene00220260,,Y105C5B.1420,Live,ncRNA_gene,6.014436112,6.556941588,0.004665061,no_change,0,0,0,21.93341972,13.06999199,1.083204965,
WBGene00198380,,T22B7.13,Live,ncRNA_gene,5.907336505,6.533681979,0.001405907,no_change,0,0,0,13.70838733,13.06999199,8.665639717,
WBGene00219242,,F56A12.10,Live,ncRNA_gene,5.907336505,6.533681979,0.001405907,no_change,0,0,0,13.70838733,13.06999199,8.665639717,
WBGene00198307,,F12F6.15,Live,ncRNA_gene,5.91855819,6.533479369,0.002623315,no_change,0,0,0,19.19174226,13.06999199,3.249614894,
WBGene00197066,,F13H6.9,Live,ncRNA_gene,5.874497378,6.532184659,0.001446647,no_change,0,0,0,15.07922606,9.335708562,10.83204965,
WBGene00201299,,F10C1.18,Live,ncRNA_gene,5.866040695,6.531909247,0.003662981,no_change,0,0,0,26.04593592,3.734283425,5.416024823,
WBGene00196673,,ZK897.9,Live,ncRNA_gene,5.852879935,6.528575262,0.002397031,no_change,0,0,0,21.93341972,5.601425137,7.582434753,
WBGene00219696,anr-39,F42G2.11,Live,ncRNA,5.848175859,6.524235232,0.001663809,no_change,0,0,0,6.854193663,13.06999199,15.16486951,
WBGene00200342,,C42D8.17,Live,ncRNA_gene,5.88171537,6.517314775,0.015318748,no_change,0,0,0,0,29.8742674,5.416024823,
WBGene00195595,,C56E6.11,Live,ncRNA_gene,5.77668038,6.50454547,0.001548673,no_change,0,0,0,13.70838733,11.20285027,9.748844682,
WBGene00201520,,Y17G9A.89,Live,ncRNA_gene,5.718345661,6.489279085,0.004724473,no_change,0,0,0,24.67509719,7.468566849,2.166409929,
WBGene00202312,,F59E12.14,Live,ncRNA_gene,5.663889091,6.480175147,0.024309264,no_change,0,0,0,32.90012958,0,1.083204965,
WBGene00220237,,ZK20.10,Live,ncRNA_gene,82.82867818,6.470485118,4.45E-18,up,0,4.844442195,0.699654331,146.6797444,194.1827381,150.5654901,
WBGene00219738,anr-1,T26A5.11,Live,ncRNA,5.642146106,6.464098665,0.002680467,no_change,0,0,0,16.45006479,13.06999199,4.332819859,
